




 J       | L5           | 1176.45     | L5P                            | C5P:C5:      | L5P:L5:       | D5P:D5:    | S5P:S5:
 J       | L5           | 1176.45     | L5(D+P)                        | C5Z:C5:      | L5Z:L5:       | D5Z:D5:    | S5Z:S5:
 J       | L5           | 1176.45     | unknown/RX2                    | C5_:C5:      | L5_:L5:       | D5_:D5:    | S5_:S5:

 J       | LEX          | 1278.75     | S (Data Ch.)                   | C6S:C6:      | L6S:L6:       | D6S:D6:    | S6S:S6:
 J       | LEX          | 1278.75     | L (No Data)                    | C6L:C6:      | L6L:L6:       | D6L:D6:    | S6L:S6:
 J       | LEX          | 1278.75     | S+L                            | C6X:C6:      | L6X:L6:       | D6X:D6:    | S6X:S6:
 J       | LEX          | 1278.75     | E                              | C6E:C6:      | L6E:L6:       | D6E:D6:    | S6E:S6:
 J       | LEX          | 1278.75     | D+E                            | C6Z:C6:      | L6Z:L6:       | D6Z:D6:    | S6Z:S6:
 J       | LEX          | 1278.75     | unknown/RX2                    | C6_:C6:      | L6_:L6:       | D6_:D6:    | S6_:S6:


 I       | L5           | 1176.45     | A SPS                          | C5A:C5:      | L5A:L5:       | D5A:D5:    | S5A:S5:
 I       | L5           | 1176.45     | B RS (D)                       | C5B:C5:      | L5B:L5:       | D5B:D5:    | S5B:S5:
 I       | L5           | 1176.45     | C RS (P)                       | C5C:C5:      | L5C:L5:       | D5C:D5:    | S5C:S5:
 I       | L5           | 1176.45     | B+C                            | C5X:C5:      | L5X:L5:       | D5X:D5:    | S5X:S5:
 I       | L5           | 1176.45     | unknown/RX2                    | C5_:C5:      | L5_:L5:       | D5_:D5:    | S5_:S5:

 I       | S            | 2492.028    | A SPS                          | C9A:C9:      | L9A:L9:       | D9A:D9:    | S9A:S9:
 I       | S            | 2492.028    | B RS (D)                       | C9B:C9:      | L9B:L9:       | D9B:D9:    | S9B:S9:
 I       | S            | 2492.028    | C RS (P)                       | C9C:C9:      | L9C:L9:       | D9C:D9:    | S9C:S9:
 I       | S            | 2492.028    | B+C                            | C9X:C9:      | L9X:L9:       | D9X:D9:    | S9X:S9:
 I       | S            | 2492.028    | unknown/RX2                    | C9_:C9:      | L9_:L9:       | D9_:D9:    | S9_:S9:

